States/Uts,Less than 5 years - Total Accidents - Number,5.1 - 10 Years - Total Accidents,10.1 - 15 Years - Total Accidents,Greater than 15 years - Total Accidents,Age Not Known - Total Accidents
Andhra Pradesh,8294,6620,2536,1321,3221
Arunachal Pradesh,56,64,51,29,37
Assam,3287,2504,1177,499,883
Bihar,4849,2433,1420,624,681
Chhattisgarh,3999,2892,1254,2060,3694
Goa,1989,759,497,169,26
Gujarat,4994,4469,1933,2020,3630
Haryana,1768,1313,831,1239,5793
Himachal Pradesh ,1182,889,236,117,449
Jammu and Kashmir,1384,1259,342,206,2605
Jharkhand,1532,890,506,705,1584
Karnataka,17947,13156,5254,2394,1907
Kerala,14415,13167,3530,1426,8573
Madhya Pradesh,17682,15130,6146,5473,6238
Maharashtra,11960,11027,5751,2248,1939
Manipur,195,199,110,97,71
Meghalaya,73,104,30,32,243
Mizoram,34,22,3,1,2
Nagaland,66,65,40,0,187
Orissa,3974,3157,1681,1327,925
Punjab,1516,1144,860,988,1840
Rajasthan,10471,7138,1977,1525,2369
Sikkim,64,53,10,14,21
Tamil Nadu,20205,15823,8927,8603,3670
Telangana,9582,5351,2158,777,3702
Tripura,384,158,64,11,38
Uttarakhand,423,333,227,85,284
Uttar Pradesh,7912,7401,6613,13302,7344
West Bengal,3625,3086,889,1447,1111
Andaman and Nicobar Island,65,66,51,46,2
Chandigarh,NA,NA,NA,NA,NA
Dadra and Nagar Haveli,17,15,23,4,9
Daman and Diu,29,28,1,0,11
Delhi,1200,1123,632,540,2115
Lakshadweep,0,1,0,0,0
Puducherry,400,412,184,146,250
